,Year,Team,Rank,GateRevenue,OtherRevenue,TotalRevenues,PlayerExpenses,OtherExpenses,TotalExpenses,Operatingincome,Year2,City,CityPopulation(in thousand),Attendance(in thousand),State,StateMedianIncome(2021$in thousand),WinningTotal
278,2009-2010,Los Angeles Clippers,,24.0,78.0,102.0,62.0,29.0,,11.0,2009,Los Angeles city,3781.938,670.063,California,56.134,29.0
279,2009-2010,Los Angeles Lakers,,96.0,118.0,214.0,91.0,89.6,,33.4,2009,Los Angeles city,3781.938,778.877,California,56.134,57.0
280,2009-2010,Memphis Grizzlies,,15.0,77.0,92.0,59.0,35.6,,-2.6,2009,Memphis city,648.051,552.914,Tennessee,40.517,40.0
281,2009-2010,Miami Heat,,41.0,83.0,124.0,78.0,51.9,,-5.9,2009,Miami city,394.347,726.935,Florida,45.631,47.0
282,2009-2010,Milwaukee Bucks,,20.0,72.0,92.0,69.0,25.0,,-2.0,2009,Milwaukee city,592.18,619.453,Wisconsin,51.237,46.0
283,2009-2010,Minnesota Timberwolves,,14.0,81.0,95.0,67.0,34.7,,-6.7,2009,Minneapolis city,381.638,619.17,Minnesota,56.09,15.0
284,2009-2010,New Orleans Pelicans,,27.0,73.0,100.0,74.0,31.9,,-5.9,2009,New Orleans city,327.803,620.366,Louisiana,45.433,37.0
285,2009-2010,New York Knicks,,81.0,145.0,226.0,86.0,76.0,,64.0,2009,New York city,8131.574,799.55,New York,50.216,29.0
286,2009-2010,Oklahoma City Thunder,,44.0,74.0,118.0,62.0,33.4,,22.6,2009,Oklahoma city,,738.149,Oklahoma,45.878,50.0
287,2009-2010,Orlando Magic,,38.0,70.0,108.0,86.0,45.1,,-23.1,2009,Orlando city,235.918,715.901,Florida,45.631,59.0
288,2009-2010,Philadelphia 76ers,,24.0,86.0,110.0,69.0,42.2,,-1.2,2009,Philadelphia city,1514.694,583.219,Pennsylvania,48.172,27.0
289,2009-2010,Phoenix Suns,,50.0,97.0,147.0,69.0,57.6,,20.4,2009,Phoenix city,1452.679,723.582,Arizona,45.739,54.0
290,2009-2010,Portland Trail Blazers,,43.0,84.0,127.0,64.0,52.3,,10.7,2009,Portland city,578.104,840.411,Oregon,49.098,50.0
291,2009-2010,Sacramento Kings,,23.0,80.0,103.0,72.0,40.8,,-9.8,2009,Sacramento city,463.458,543.416,California,56.134,25.0
292,2009-2010,San Antonio Spurs,,49.0,86.0,135.0,84.0,55.7,,-4.7,2009,San Antonio city,1310.266,741.676,Texas,47.475,50.0
293,2009-2010,Toronto Raptors,,44.0,94.0,138.0,72.0,40.7,,25.3,2009,Toronto city,511.8,733.784,Ontario,,40.0
294,2009-2010,Utah Jazz,,42.0,79.0,121.0,76.0,48.9,,-3.9,2009,Salt Lake city,,794.512,Utah,58.491,53.0
295,2009-2010,Washington Wizards,,25.0,82.0,107.0,73.0,39.2,,-5.2,2009,Washington city,592.228,664.398,District of Columbia,53.141,26.0
296,2010-2011,Atlanta Hawks,,23.0,86.0,109.0,75.0,48.7,,-14.7,2010,Atlanta city,422.334,641.596,Georgia,44.117,44.0
297,2010-2011,Boston Celtics,,59.0,87.0,146.0,86.0,52.3,,7.7,2010,Boston city,618.695,763.584,Massachusetts,60.934,56.0
298,2010-2011,Brooklyn Nets,,20.0,69.0,89.0,66.0,46.6,,-23.6,2010,Brooklyn city,11.152,,New York,49.781,24.0
299,2010-2011,Charlotte Hornets,,19.0,82.0,101.0,70.0,56.5,,-25.5,2010,Charlotte city,734.443,649.694,North Carolina,43.83,34.0
300,2010-2011,Chicago Bulls,,63.0,122.0,185.0,58.0,67.6,,59.4,2010,Chicago city,2698.838,893.462,Illinois,50.728,62.0
301,2010-2011,Cleveland Cavaliers,,43.0,106.0,149.0,58.0,58.1,,32.9,2010,Cleveland city,396.229,824.595,Ohio,45.886,19.0
302,2010-2011,Dallas Mavericks,,53.0,113.0,166.0,88.0,81.9,,-3.9,2010,Dallas city,1202.719,824.162,Texas,47.266,57.0
303,2010-2011,Denver Nuggets,,31.0,82.0,113.0,69.0,45.2,,-1.2,2010,Denver city,604.414,692.968,Colorado,60.233,50.0
304,2010-2011,Detroit Pistons,,21.0,120.0,141.0,70.0,61.3,,9.7,2010,Detroit city,711.89,683.08,Michigan,46.276,30.0
305,2010-2011,Golden State Warriors,,41.0,98.0,139.0,73.0,43.8,,22.2,2010,San Francisco city,805.463,766.398,California,54.283,36.0
306,2010-2011,Houston Rockets,,38.0,112.0,150.0,70.0,62.1,,17.9,2010,Houston city,2108.946,663.839,Texas,47.266,43.0
307,2010-2011,Indiana Pacers,,16.0,85.0,101.0,70.0,41.5,,-10.5,2010,Indianapolis city,,555.077,Indiana,46.139,37.0
308,2010-2011,Los Angeles Clippers,,29.0,79.0,108.0,58.0,40.6,,9.4,2010,Los Angeles city,3797.162,727.462,California,54.283,32.0
309,2010-2011,Los Angeles Lakers,,85.0,123.0,208.0,95.0,88.7,,24.3,2010,Los Angeles city,3797.162,778.877,California,54.283,57.0
310,2010-2011,Memphis Grizzlies,,19.0,80.0,99.0,75.0,48.8,,-24.8,2010,Memphis city,647.85,600.687,Tennessee,38.591,46.0
311,2010-2011,Miami Heat,,67.0,91.0,158.0,69.0,63.0,,26.0,2010,Miami city,400.882,810.93,Florida,44.066,58.0
312,2010-2011,Milwaukee Bucks,,19.0,73.0,92.0,66.0,33.6,,-7.6,2010,Milwaukee city,595.588,631.91,Wisconsin,50.351,35.0
313,2010-2011,Minnesota Timberwolves,,13.0,84.0,97.0,58.0,45.8,,-6.8,2010,Minneapolis city,383.289,624.96,Minnesota,52.321,17.0
314,2010-2011,New Orleans Pelicans,,28.0,81.0,109.0,73.0,38.7,,-2.7,2010,New Orleans city,347.858,603.088,Louisiana,39.3,46.0
315,2010-2011,New York Knicks,,92.0,152.0,244.0,74.0,95.1,,74.9,2010,New York city,8184.899,808.879,New York,49.781,42.0
316,2010-2011,Oklahoma City Thunder,,48.0,78.0,126.0,60.0,41.5,,24.5,2010,Oklahoma city,,744.068,Oklahoma,43.103,55.0
317,2010-2011,Orlando Magic,,43.0,97.0,140.0,95.0,61.0,,-16.0,2010,Orlando city,239.049,777.852,Florida,44.066,52.0
318,2010-2011,Philadelphia 76ers,,26.0,90.0,116.0,73.0,53.3,,-10.3,2010,Philadelphia city,1528.306,604.823,Pennsylvania,48.314,41.0
319,2010-2011,Phoenix Suns,,40.0,96.0,136.0,71.0,51.9,,13.1,2010,Phoenix city,1449.511,720.249,Arizona,46.896,40.0
320,2010-2011,Portland Trail Blazers,,43.0,89.0,132.0,76.0,64.1,,-8.1,2010,Portland city,585.807,840.924,Oregon,50.602,48.0
321,2010-2011,Sacramento Kings,,23.0,81.0,104.0,50.0,47.6,,6.4,2010,Sacramento city,467.53,569.496,California,54.283,24.0
322,2010-2011,San Antonio Spurs,,51.0,88.0,139.0,74.0,50.6,,14.4,2010,San Antonio city,1334.405,750.879,Texas,47.266,61.0
323,2010-2011,Toronto Raptors,,40.0,94.0,134.0,75.0,51.6,,7.4,2010,Toronto city,508.4,679.208,Ontario,,22.0
324,2010-2011,Utah Jazz,,37.0,83.0,120.0,80.0,56.4,,-16.4,2010,Salt Lake city,,799.982,Utah,56.701,39.0
325,2010-2011,Washington Wizards,,24.0,85.0,109.0,63.0,49.4,,-3.4,2010,Washington city,604.453,688.466,District of Columbia,56.928,23.0
326,2011-2012,Atlanta Hawks,28.0,17.0,82.0,99.0,65.0,52.7,117.7,-18.7,2011,Atlanta city,437.863,501.593,Georgia,45.973,40.0
327,2011-2012,Boston Celtics,4.0,58.0,85.0,143.0,69.0,55.3,124.3,18.7,2011,Boston city,630.62,614.592,Massachusetts,63.313,39.0
328,2011-2012,Brooklyn Nets,9.0,14.0,70.0,84.0,58.0,42.6,100.6,-16.6,2011,Brooklyn city,11.154,,New York,50.636,22.0
329,2011-2012,Charlotte Hornets,29.0,14.0,79.0,93.0,52.0,54.3,106.3,-13.3,2011,Charlotte city,754.943,486.984,North Carolina,45.206,7.0
330,2011-2012,Chicago Bulls,3.0,47.0,115.0,162.0,62.0,65.8,127.8,34.2,2011,Chicago city,2708.067,731.326,Illinois,50.637,50.0
331,2011-2012,Cleveland Cavaliers,16.0,24.0,104.0,128.0,57.0,52.4,109.4,18.6,2011,Cleveland city,392.862,525.577,Ohio,44.648,21.0
332,2011-2012,Dallas Mavericks,5.0,35.0,102.0,137.0,67.0,57.0,124.0,13.0,2011,Dallas city,1218.214,671.05,Texas,49.047,36.0
333,2011-2012,Denver Nuggets,19.0,26.0,84.0,110.0,53.0,45.0,98.0,12.0,2011,Denver city,620.25,561.966,Colorado,58.629,38.0
334,2011-2012,Detroit Pistons,22.0,15.0,110.0,125.0,59.0,58.3,117.3,7.7,2011,Detroit city,705.202,475.638,Michigan,48.879,25.0
335,2011-2012,Golden State Warriors,8.0,31.0,96.0,127.0,55.0,42.9,97.9,29.1,2011,San Francisco city,815.694,622.311,California,53.367,23.0
336,2011-2012,Houston Rockets,7.0,28.0,107.0,135.0,52.0,56.4,108.4,26.6,2011,Houston city,2123.298,506.994,Texas,49.047,34.0
337,2011-2012,Indiana Pacers,24.0,15.0,83.0,98.0,48.0,39.1,87.1,10.9,2011,Indianapolis city,837.05,467.561,Indiana,44.445,42.0
338,2011-2012,Los Angeles Clippers,18.0,29.0,79.0,108.0,62.0,36.9,98.9,9.1,2011,Los Angeles city,3818.812,634.237,California,53.367,40.0
339,2011-2012,Los Angeles Lakers,2.0,74.0,123.0,197.0,76.0,73.2,149.2,47.8,2011,Los Angeles city,3818.812,626.901,California,53.367,41.0
340,2011-2012,Memphis Grizzlies,25.0,15.0,81.0,96.0,63.0,45.5,108.5,-12.5,2011,Memphis city,655.434,518.256,Tennessee,42.279,41.0
341,2011-2012,Miami Heat,6.0,61.0,89.0,150.0,68.0,67.1,135.1,14.9,2011,Miami city,406.607,657.855,Florida,45.105,46.0
342,2011-2012,Milwaukee Bucks,30.0,14.0,73.0,87.0,54.0,33.5,87.5,-0.5,2011,Milwaukee city,597.132,485.717,Wisconsin,52.058,31.0
343,2011-2012,Minnesota Timberwolves,26.0,16.0,80.0,96.0,52.0,48.5,100.5,-4.5,2011,Minneapolis city,388.096,577.197,Minnesota,57.82,26.0
344,2011-2012,New Orleans Pelicans,27.0,22.0,78.0,100.0,59.0,37.7,96.7,3.3,2011,New Orleans city,360.822,498.618,Louisiana,40.658,21.0
345,2011-2012,New York Knicks,1.0,94.0,149.0,243.0,68.0,91.8,159.8,83.2,2011,New York city,8272.864,652.179,New York,50.636,36.0
346,2011-2012,Oklahoma City Thunder,12.0,43.0,84.0,127.0,54.0,43.1,97.1,29.9,2011,Oklahoma city,,600.699,Oklahoma,48.455,47.0
347,2011-2012,Orlando Magic,14.0,35.0,91.0,126.0,76.0,38.0,114.0,12.0,2011,Orlando city,243.531,623.587,Florida,45.105,37.0
348,2011-2012,Philadelphia 76ers,20.0,26.0,81.0,107.0,60.0,47.8,107.8,-0.8,2011,Philadelphia city,1540.615,577.597,Pennsylvania,49.91,35.0
349,2011-2012,Phoenix Suns,13.0,28.0,93.0,121.0,60.0,48.0,108.0,13.0,2011,Phoenix city,1469.77,514.718,Arizona,48.621,33.0
350,2011-2012,Portland Trail Blazers,15.0,31.0,86.0,117.0,70.0,57.1,127.1,-10.1,2011,Portland city,595.61,676.384,Oregon,51.526,28.0
351,2011-2012,Sacramento Kings,11.0,18.0,78.0,96.0,45.0,48.4,93.4,2.6,2011,Sacramento city,470.788,478.764,California,53.367,22.0
352,2011-2012,San Antonio Spurs,10.0,48.0,87.0,135.0,65.0,55.3,120.3,14.7,2011,San Antonio city,1357.807,607.095,Texas,49.047,50.0
353,2011-2012,Toronto Raptors,21.0,31.0,90.0,121.0,49.0,53.2,102.2,18.8,2011,Toronto city,523.4,555.584,Ontario,,23.0
354,2011-2012,Utah Jazz,17.0,31.0,80.0,111.0,54.0,44.9,98.9,12.1,2011,Salt Lake city,,637.124,Utah,55.493,36.0
355,2011-2012,Washington Wizards,23.0,19.0,83.0,102.0,52.0,48.3,100.3,1.7,2011,Washington city,620.29,552.038,District of Columbia,55.251,20.0
356,2012-2013,Atlanta Hawks,27.0,20.0,99.0,119.0,73.0,49.6,,-3.6,2012,Atlanta city,449.118,620.146,Georgia,48.121,44.0
357,2012-2013,Boston Celtics,4.0,62.0,107.0,169.0,79.0,43.2,,46.8,2012,Boston city,643.18,744.96,Massachusetts,63.656,41.0
358,2012-2013,Brooklyn Nets,5.0,54.0,136.0,190.0,4.0,205.0,,-19.0,2012,Brooklyn city,11.106,704.702,New York,47.68,49.0
359,2012-2013,Charlotte Hornets,29.0,19.0,96.0,115.0,64.0,44.0,,7.0,2012,Charlotte city,773.506,628.293,North Carolina,41.553,21.0
360,2012-2013,Chicago Bulls,3.0,64.0,131.0,195.0,75.0,67.8,,52.2,2012,Chicago city,2719.039,896.944,Illinois,51.738,45.0
361,2012-2013,Cleveland Cavaliers,19.0,30.0,115.0,145.0,72.0,62.2,,10.8,2012,Cleveland city,391.767,663.882,Ohio,44.375,24.0
362,2012-2013,Dallas Mavericks,8.0,42.0,120.0,162.0,75.0,49.5,,37.5,2012,Dallas city,1241.95,821.49,Texas,51.926,41.0
363,2012-2013,Denver Nuggets,20.0,35.0,89.0,124.0,75.0,41.0,,8.0,2012,Denver city,634.965,730.616,Colorado,57.255,57.0
364,2012-2013,Detroit Pistons,25.0,19.0,120.0,139.0,76.0,52.7,,10.3,2012,Detroit city,700.289,606.094,Michigan,50.015,29.0
365,2012-2013,Golden State Warriors,9.0,50.0,110.0,160.0,77.0,40.0,,43.0,2012,San Francisco city,828.963,794.32,California,57.02,47.0
366,2012-2013,Houston Rockets,6.0,49.0,142.0,191.0,68.0,59.3,,63.7,2012,Houston city,2158.7,683.564,Texas,51.926,45.0
367,2012-2013,Indiana Pacers,22.0,21.0,100.0,121.0,73.0,36.4,,11.6,2012,Indianapolis city,845.019,626.069,Indiana,46.158,49.0
368,2012-2013,Los Angeles Clippers,13.0,41.0,87.0,128.0,80.0,33.0,,15.0,2012,Los Angeles city,3847.857,788.293,California,57.02,56.0
369,2012-2013,Los Angeles Lakers,2.0,94.0,201.0,295.0,110.0,118.6,,66.4,2012,Los Angeles city,3847.857,778.877,California,57.02,45.0
370,2012-2013,Memphis Grizzlies,24.0,25.0,101.0,126.0,71.0,43.8,,11.2,2012,Memphis city,658.961,681.613,Tennessee,42.995,56.0
371,2012-2013,Miami Heat,7.0,81.0,107.0,188.0,90.0,68.8,,29.2,2012,Miami city,411.149,819.29,Florida,46.071,66.0
372,2012-2013,Milwaukee Bucks,30.0,21.0,88.0,109.0,68.0,29.5,,11.5,2012,Milwaukee city,598.627,616.469,Wisconsin,53.079,38.0
373,2012-2013,Minnesota Timberwolves,26.0,18.0,98.0,116.0,74.0,44.7,,-2.7,2012,Minneapolis city,392.837,669.956,Minnesota,61.795,31.0
374,2012-2013,New Orleans Pelicans,28.0,25.0,91.0,116.0,70.0,34.8,,11.2,2012,New Orleans city,369.947,565.93,Louisiana,39.085,27.0
375,2012-2013,New York Knicks,1.0,125.0,162.0,287.0,89.0,101.7,,96.3,2012,New York city,8346.715,780.353,New York,47.68,54.0
376,2012-2013,Oklahoma City Thunder,11.0,49.0,95.0,144.0,74.0,36.7,,33.3,2012,Oklahoma city,,746.323,Oklahoma,48.407,60.0
377,2012-2013,Orlando Magic,15.0,39.0,100.0,139.0,91.0,35.7,,12.3,2012,Orlando city,249.867,721.414,Florida,46.071,20.0
378,2012-2013,Philadelphia 76ers,23.0,27.0,90.0,117.0,83.0,37.8,,-3.8,2012,Philadelphia city,1552.087,685.412,Pennsylvania,51.904,34.0
379,2012-2013,Phoenix Suns,14.0,32.0,105.0,137.0,65.0,43.8,,28.2,2012,Phoenix city,1499.25,632.913,Arizona,47.044,25.0
380,2012-2013,Portland Trail Blazers,12.0,39.0,101.0,140.0,63.0,47.0,,30.0,2012,Portland city,604.521,813.012,Oregon,51.775,33.0
381,2012-2013,Sacramento Kings,16.0,19.0,96.0,115.0,61.0,41.5,,12.5,2012,Sacramento city,473.43,563.743,California,57.02,28.0
382,2012-2013,San Antonio Spurs,10.0,63.0,104.0,167.0,77.0,50.6,,39.4,2012,San Antonio city,1383.81,755.7,Texas,51.926,58.0
383,2012-2013,Toronto Raptors,18.0,41.0,108.0,149.0,73.0,47.2,,28.8,2012,Toronto city,519.5,743.936,Ontario,,34.0
384,2012-2013,Utah Jazz,17.0,36.0,95.0,131.0,74.0,39.5,,17.5,2012,Salt Lake city,,765.915,Utah,58.341,43.0
385,2012-2013,Washington Wizards,21.0,23.0,99.0,122.0,72.0,43.0,,7.0,2012,Washington city,635.737,670.07,District of Columbia,65.246,29.0
386,2013-2014,Atlanta Hawks,22.0,19.0,114.0,133.0,65.0,53.2,,14.8,2013,Atlanta city,454.148,587.927,Georgia,46.992,38.0
387,2013-2014,Boston Celtics,4.0,58.0,115.0,173.0,77.0,41.1,,54.9,2013,Boston city,653.312,742.4,Massachusetts,62.529,25.0
388,2013-2014,Brooklyn Nets,6.0,64.0,148.0,212.0,115.0,196.4,,-99.4,2013,Brooklyn city,11.082,707.331,New York,49.966,44.0
389,2013-2014,Charlotte Hornets,26.0,21.0,109.0,130.0,79.0,49.8,,1.2,2013,Charlotte city,792.408,636.268,North Carolina,46.337,43.0
390,2013-2014,Chicago Bulls,3.0,65.0,136.0,201.0,73.0,62.7,,65.3,2013,Chicago city,2725.575,890.37,Illinois,53.937,48.0
391,2013-2014,Cleveland Cavaliers,15.0,29.0,120.0,149.0,74.0,54.4,,20.6,2013,Cleveland city,392.04,710.522,Ohio,50.748,33.0
392,2013-2014,Dallas Mavericks,10.0,45.0,123.0,168.0,82.0,55.6,,30.4,2013,Dallas city,1258.58,817.982,Texas,51.406,49.0
393,2013-2014,Denver Nuggets,19.0,30.0,106.0,136.0,77.0,45.0,,14.0,2013,Denver city,649.27,692.898,Colorado,67.912,36.0
394,2013-2014,Detroit Pistons,23.0,19.0,125.0,144.0,69.0,57.4,,17.6,2013,Detroit city,691.986,615.238,Michigan,56.567,29.0
395,2013-2014,Golden State Warriors,7.0,55.0,113.0,168.0,78.0,45.1,,44.9,2013,San Francisco city,839.695,803.436,California,60.794,51.0
396,2013-2014,Houston Rockets,8.0,61.0,114.0,175.0,76.0,61.0,,38.0,2013,Houston city,2196.367,743.082,Texas,51.406,54.0
397,2013-2014,Indiana Pacers,21.0,26.0,113.0,139.0,74.0,40.0,,25.0,2013,Indianapolis city,854.379,717.542,Indiana,49.455,56.0
398,2013-2014,Los Angeles Clippers,5.0,51.0,95.0,146.0,79.0,46.9,,20.1,2013,Los Angeles city,3877.721,787.692,California,60.794,57.0
399,2013-2014,Los Angeles Lakers,1.0,96.0,197.0,293.0,89.0,99.9,,104.1,2013,Los Angeles city,3877.721,771.974,California,60.794,27.0
400,2013-2014,Memphis Grizzlies,25.0,24.0,111.0,135.0,79.0,45.5,,10.5,2013,Memphis city,657.386,685.458,Tennessee,43.361,50.0
401,2013-2014,Miami Heat,9.0,89.0,99.0,188.0,94.0,81.4,,12.6,2013,Miami city,415.666,811.036,Florida,48.532,54.0
402,2013-2014,Milwaukee Bucks,30.0,17.0,93.0,110.0,69.0,29.5,,11.5,2013,Milwaukee city,599.997,552.967,Wisconsin,51.726,15.0
403,2013-2014,Minnesota Timberwolves,29.0,16.0,112.0,128.0,73.0,48.1,,6.9,2013,Minneapolis city,400.189,597.157,Minnesota,64.324,40.0
404,2013-2014,New Orleans Pelicans,28.0,27.0,104.0,131.0,74.0,38.0,,19.0,2013,New Orleans city,378.863,672.029,Louisiana,46.425,34.0
405,2013-2014,New York Knicks,2.0,119.0,159.0,278.0,95.0,129.6,,53.4,2013,New York city,8396.207,812.292,New York,49.966,37.0
406,2013-2014,Oklahoma City Thunder,13.0,54.0,98.0,152.0,78.0,43.2,,30.8,2013,Oklahoma city,,746.323,Oklahoma,46.162,59.0
407,2013-2014,Orlando Magic,18.0,34.0,109.0,143.0,86.0,36.1,,20.9,2013,Orlando city,255.09,666.046,Florida,48.532,23.0
408,2013-2014,Philadelphia 76ers,27.0,22.0,103.0,125.0,60.0,40.6,,24.4,2013,Philadelphia city,1558.713,568.632,Pennsylvania,55.156,19.0
409,2013-2014,Phoenix Suns,16.0,33.0,112.0,145.0,70.0,46.8,,28.2,2013,Phoenix city,1526.505,650.739,Arizona,52.611,48.0
410,2013-2014,Portland Trail Blazers,12.0,44.0,109.0,153.0,88.0,53.3,,11.7,2013,Portland city,610.254,809.612,Oregon,48.999,54.0
411,2013-2014,Sacramento Kings,24.0,27.0,98.0,125.0,69.0,47.1,,8.9,2013,Sacramento city,476.645,667.949,California,60.794,28.0
412,2013-2014,San Antonio Spurs,11.0,66.0,106.0,172.0,71.0,60.1,,40.9,2013,San Antonio city,1409.091,755.031,Texas,51.406,62.0
413,2013-2014,Toronto Raptors,14.0,47.0,104.0,151.0,81.0,52.1,,17.9,2013,Toronto city,516.4,748.339,Ontario,,48.0
414,2013-2014,Utah Jazz,20.0,36.0,106.0,142.0,64.0,45.3,,32.7,2013,Salt Lake city,,745.203,Utah,61.047,25.0
415,2013-2014,Washington Wizards,17.0,27.0,116.0,143.0,86.0,46.9,,10.1,2013,Washington city,651.559,698.068,District of Columbia,60.057,44.0
416,2014-2015,Atlanta Hawks,24.0,30.0,112.0,142.0,67.0,68.0,,7.0,2014,Atlanta city,461.358,713.909,Georgia,49.555,60.0
417,2014-2015,Boston Celtics,4.0,56.0,125.0,181.0,69.0,54.6,,57.4,2014,Boston city,663.26,721.35,Massachusetts,63.151,40.0
418,2014-2015,Brooklyn Nets,7.0,63.0,157.0,220.0,99.0,126.7,,-5.7,2014,Brooklyn city,11.044,698.529,New York,54.31,38.0
419,2014-2015,Charlotte Hornets,26.0,24.0,118.0,142.0,82.0,56.3,,3.7,2014,Charlotte city,807.875,704.886,North Carolina,46.784,33.0
420,2014-2015,Chicago Bulls,3.0,72.0,156.0,228.0,87.0,73.4,,67.6,2014,Chicago city,2726.8,875.091,Illinois,54.916,50.0
421,2014-2015,Cleveland Cavaliers,12.0,52.0,139.0,191.0,87.0,79.2,,24.8,2014,Cleveland city,391.129,843.042,Ohio,49.644,53.0
422,2014-2015,Dallas Mavericks,9.0,45.0,132.0,177.0,90.0,62.7,,24.3,2014,Dallas city,1278.737,827.702,Texas,53.875,50.0
423,2014-2015,Denver Nuggets,21.0,26.0,114.0,140.0,64.0,49.7,,26.3,2014,Denver city,664.54,602.707,Colorado,60.94,30.0
424,2014-2015,Detroit Pistons,22.0,22.0,132.0,154.0,71.0,67.0,,16.0,2014,Detroit city,682.746,625.917,Michigan,52.005,32.0
425,2014-2015,Golden State Warriors,6.0,77.0,124.0,201.0,80.0,63.4,,57.6,2014,San Francisco city,850.918,803.436,California,60.487,67.0
426,2014-2015,Houston Rockets,8.0,75.0,162.0,237.0,85.0,77.4,,74.6,2014,Houston city,2238.653,747.412,Texas,53.875,56.0
427,2014-2015,Indiana Pacers,23.0,20.0,118.0,138.0,75.0,44.0,,19.0,2014,Indianapolis city,859.941,691.434,Indiana,48.06,38.0
428,2014-2015,Los Angeles Clippers,5.0,59.0,117.0,176.0,92.0,63.4,,20.6,2014,Los Angeles city,3904.102,785.892,California,60.487,56.0
429,2014-2015,Los Angeles Lakers,2.0,98.0,206.0,304.0,76.0,94.6,,133.4,2014,Los Angeles city,3904.102,768.244,California,60.487,21.0
430,2014-2015,Memphis Grizzlies,25.0,27.0,120.0,147.0,81.0,55.7,,10.3,2014,Memphis city,655.299,710.502,Tennessee,43.716,55.0
431,2014-2015,Miami Heat,10.0,67.0,113.0,180.0,89.0,70.2,,20.8,2014,Miami city,425.097,808.223,Florida,46.14,37.0
432,2014-2015,Milwaukee Bucks,29.0,24.0,102.0,126.0,71.0,43.4,,11.6,2014,Milwaukee city,600.775,611.226,Wisconsin,58.08,41.0
433,2014-2015,Minnesota Timberwolves,27.0,19.0,127.0,146.0,76.0,54.9,,15.1,2014,Minneapolis city,407.206,595.652,Minnesota,67.244,16.0
434,2014-2015,New Orleans Pelicans,30.0,30.0,112.0,142.0,80.0,42.3,,19.7,2014,New Orleans city,384.228,683.757,Louisiana,42.406,45.0
435,2014-2015,New York Knicks,1.0,128.0,179.0,307.0,88.0,110.1,,108.9,2014,New York city,8433.867,812.292,New York,54.31,17.0
436,2014-2015,Oklahoma City Thunder,17.0,48.0,109.0,157.0,87.0,49.1,,20.9,2014,Oklahoma city,,746.323,Oklahoma,47.199,45.0
437,2014-2015,Orlando Magic,19.0,34.0,109.0,143.0,66.0,41.6,,35.4,2014,Orlando city,262.444,688.194,Florida,46.14,25.0
438,2014-2015,Philadelphia 76ers,28.0,21.0,103.0,124.0,60.0,50.1,,13.9,2014,Philadelphia city,1565.949,571.572,Pennsylvania,55.173,18.0
439,2014-2015,Phoenix Suns,13.0,35.0,119.0,154.0,76.0,56.2,,21.8,2014,Phoenix city,1555.485,693.862,Arizona,49.254,39.0
440,2014-2015,Portland Trail Blazers,15.0,42.0,115.0,157.0,94.0,58.9,,4.1,2014,Portland city,620.975,801.733,Oregon,58.875,51.0
441,2014-2015,Sacramento Kings,18.0,29.0,112.0,141.0,81.0,55.8,,4.2,2014,Sacramento city,481.284,680.049,California,60.487,29.0
442,2014-2015,San Antonio Spurs,11.0,59.0,111.0,170.0,76.0,62.1,,31.9,2014,San Antonio city,1436.214,762.855,Texas,53.875,55.0
443,2014-2015,Toronto Raptors,14.0,48.0,115.0,163.0,87.0,52.5,,23.5,2014,Toronto city,513.6,809.824,Ontario,,49.0
444,2014-2015,Utah Jazz,20.0,36.0,110.0,146.0,67.0,51.5,,27.5,2014,Salt Lake city,,772.059,Utah,63.383,38.0
445,2014-2015,Washington Wizards,16.0,31.0,115.0,146.0,89.0,54.1,,2.9,2014,Washington city,663.603,747.796,District of Columbia,68.277,46.0
446,2015-2016,Atlanta Hawks,23.0,26.0,143.0,169.0,83.0,66.2,149.2,19.8,2015,Atlanta city,468.573,690.15,Georgia,50.768,48.0
447,2015-2016,Boston Celtics,5.0,57.0,143.0,200.0,84.0,55.9,139.9,60.1,2015,Boston city,670.982,749.076,Massachusetts,67.861,48.0
448,2015-2016,Brooklyn Nets,7.0,57.0,166.0,223.0,92.0,115.3,207.3,15.7,2015,Brooklyn city,10.99,620.142,New York,58.005,21.0
449,2015-2016,Charlotte Hornets,28.0,27.0,131.0,158.0,88.0,60.6,148.6,9.4,2015,Charlotte city,826.27,716.894,North Carolina,50.797,48.0
450,2015-2016,Chicago Bulls,4.0,66.0,166.0,232.0,105.0,81.5,186.5,45.5,2015,Chicago city,2724.006,894.659,Illinois,60.413,42.0
451,2015-2016,Cleveland Cavaliers,11.0,67.0,166.0,233.0,131.0,142.2,273.2,-40.2,2015,Cleveland city,389.524,843.042,Ohio,53.301,57.0
452,2015-2016,Dallas Mavericks,9.0,44.0,150.0,194.0,86.0,67.7,153.7,40.3,2015,Dallas city,1300.859,825.901,Texas,56.473,42.0
453,2015-2016,Denver Nuggets,22.0,24.0,133.0,157.0,81.0,54.8,135.8,21.2,2015,Denver city,683.328,577.898,Colorado,66.596,33.0
454,2015-2016,Detroit Pistons,21.0,22.0,150.0,172.0,81.0,69.2,150.2,21.8,2015,Detroit city,679.562,677.138,Michigan,54.203,44.0
455,2015-2016,Golden State Warriors,3.0,134.0,171.0,305.0,111.0,119.8,230.8,74.2,2015,San Francisco city,863.237,803.436,California,63.636,73.0
456,2015-2016,Houston Rockets,8.0,69.0,175.0,244.0,103.0,78.3,181.3,62.7,2015,Houston city,2283.616,737.244,Texas,56.473,41.0
457,2015-2016,Indiana Pacers,24.0,25.0,132.0,157.0,83.0,50.1,133.1,23.9,2015,Indianapolis city,863.592,690.733,Indiana,51.983,45.0
